Date,price
21/04/22,24.645
20/04/22,25.2
19/04/22,25.915
14/04/22,25.655
13/04/22,25.64
12/04/22,25.005
11/04/22,25.05
08/04/22,24.625
07/04/22,24.38
06/04/22,24.265
05/04/22,24.675
04/04/22,24.665
01/04/22,24.69
31/03/22,24.815
30/03/22,24.755
29/03/22,24.64
28/03/22,24.905
25/03/22,25.62
24/03/22,25.315
23/03/22,25.015
22/03/22,25.085
21/03/22,25.035
18/03/22,25.235
17/03/22,25.34
16/03/22,24.945
15/03/22,24.635
14/03/22,25.375
11/03/22,25.655
10/03/22,25.945
09/03/22,26.175
08/03/22,26.12
07/03/22,25.74
04/03/22,25.15
03/03/22,25.31
02/03/22,25.075
01/03/22,24.64
28/02/22,24.35
25/02/22,24.21
24/02/22,25.315
23/02/22,24.105
22/02/22,24.01
21/02/22,23.735
18/02/22,23.77
17/02/22,23.585
16/02/22,23.5
15/02/22,23.285
14/02/22,23.69
11/02/22,22.895
10/02/22,23.355
09/02/22,23.25
08/02/22,22.86
07/02/22,22.86
04/02/22,22.505
03/02/22,22.36
02/02/22,22.78
01/02/22,22.88
31/01/22,22.495
28/01/22,22.5
27/01/22,23.17
26/01/22,23.86
25/01/22,23.665
24/01/22,24.065
21/01/22,24.32
20/01/22,24.225
19/01/22,23.775
18/01/22,22.915
17/01/22,23.015
14/01/22,23.1
13/01/22,23.245
12/01/22,22.745
11/01/22,22.59
10/01/22,22.455
07/01/22,22.24
06/01/22,22.245
05/01/22,23.055
04/01/22,22.89
31/12/21,23.085
30/12/21,22.765
29/12/21,22.835
24/12/21,22.665
23/12/21,22.815
22/12/21,22.66
21/12/21,22.745
20/12/21,22.295
17/12/21,22.645
16/12/21,22.175
15/12/21,21.805
14/12/21,22.17
13/12/21,22.22
10/12/21,21.895
09/12/21,22.25
08/12/21,22.425
07/12/21,22.435
06/12/21,22.34
03/12/21,22.35
02/12/21,22.395
01/12/21,22.86
30/11/21,22.865
29/11/21,23.235
26/11/21,23.63
25/11/21,23.69
24/11/21,23.495
23/11/21,23.815
22/11/21,24.69
19/11/21,24.785
18/11/21,24.97
17/11/21,25.04
16/11/21,25.27
15/11/21,25.21
12/11/21,24.955
11/11/21,24.98
10/11/21,24.175
09/11/21,24.375
08/11/21,24.28
05/11/21,23.82
04/11/21,23.73
03/11/21,23.58
02/11/21,23.865
01/11/21,23.865
29/10/21,24.01
28/10/21,24.075
27/10/21,23.955
26/10/21,24.315
25/10/21,24.375
22/10/21,24.31
21/10/21,24.23
20/10/21,23.955
19/10/21,23.73
